1,Historical places, Taj Mahal,Agra,"The Taj Mahal is an Islamic religious building, mosque and tomb built in the 17th century by king Shah Jahan in memory of his wife, Mumtaz Mahal. Its chief architect was Ustad Ahmad Lahauri.The building is in the city of Agra, Uttar Pradesh. Widely thought as one of the most beautiful buildings in the world, it is one of India's biggest tourist attractions"
2,Historical places,Red Fort,New Delhi,"The Red Fort was originally referred to as ""Qila-i-Mubarak"" (the blessed fort), because it was the residence of the royal family. The layout of the Red Fort was organised to keep and integrate this site with the Salimgarh Fort. The planning and aesthetics of the Red Fort represent the high point in Mughal creativity which happened during the reign of Emperor Shah Jahan. "
3,Historical places,Mahabodhi Temple,Bodh Gaya,Visit the Mahabodhi temples that are one of the four holy grounds of Buddhism. This is the spot where the Buddha is said to have attained enlightenment while meditating under a fig tree. The Bodhi tree is the descendant of the Fig tree and lies just near the temple. The earliest temple was built by Ashoka in the 3rd century BC. The temple has a massive statue of Buddha touching the earth with this right hand.
4,Historical places,Humayun?s Tomb,Delhi,"A beautiful synthesis of Indian and Persian architecture, Humayun?s Tomb is one of the most famous and important places in India. Humayun?s wife Hamida Banu Begum commissioned the building of this tomb for her husband in the 15th century. Arched alcoves, beautiful domes, elaborate corridors and kiosks ? all make this monument a grandeur of Indian architecture. There is also a barber?s tomb at the southwestern side of the main tomb. It is one of the most famous tourist places in Delhi that one should certainly visit."
5,Historical places,Chola Temples,Tamil Nadu,"Get set to undertake an adventurous journey back in time by visiting the trio of three great Chola temples: Brihadeshwara Temple at Tanjore, Airavateshwara Temple in Darasuram, and Brihadeeshwara Temple in Gangaikonda Cholapuram. The three temples were built by the kings of Chola dynasty which was one of the greatest kingdoms of South India. The ones at Tanjore and Cholapuram were built in the 11th century while the one at Darasuram was built in the 12th century"
6,Historical places,Hampi,Karnataka,"Hampi?s rocky outcrops, chariot structures, gopurams, elephant stables, ornate halls ? all depict the tale of one of the greatest Hindu kingdoms. It is believed that Lord Rama and his brother visited this historical place to search for Sita. They took the help of the two brothers Bali and Sugriv who ruled this region then. This UNESCO World Heritage Site is one of the most famous historical places in South India and was also the region where Vijayanagara?s main coin mint was situated.
"
7,Historical places,Mysore Palace,Mysore ,"While culturally different, South India is as enchanting as the north?just visit Mysore to see for yourself. The third-largest city in Karnataka is considered to be the cultural capital of the state, celebrated for its high-quality silk, Mysore painting tradition, and hypnotic Hindu temples with deity carvings that nearly touch the clouds.Most tourists visit Mysore to see its World Heritage-listed palace. This attraction takes Indian grandeur to the next level, with endless mirrored decor, stained-glass windows, carved wooden doors, and intricate mosaic floors that look like the inside of a kaleidoscope."
8,Historical places,Charminar,Hyderabad,It was believed that Muhammad Quli Qutb Shah built the Charminar in 1591 to honor Allah. However in reality this historical tourist place in India was built to signify the end of plague in the city. Legend has it that there is a secret tunnel from the monument to Golconda fort but it hasn?t been discovered till date. Each minaret of this monument has four stories and every arch has one clock.
9,Historical places,Gateway of India,Mumbai,"Built as an access point for the entry and exit during the British period, the Gateway of India is one of the important places in India. This ancient gateway was completed in 1924 and was inaugurated by The Viceroy, the Earl of Reading. It has been reinforced over time using yellow basalt and concrete and has delicate lattice work all over the turrets. The statues of Chhatrapati Shivaji and Swami Vivekananda were also installed at the Gateway later on."
10,Historical places,Lakshmi Vilas Palace, Vadodara,"Built by the prestigious Gaekwad family who ruled Baroda. Initially a part of Sarkar Wada, it was built in 1890 by Maharaja Sayajirao Gaekwad. The palace is one of a kind with Indo-Saracenic architecture. The interiors are European-inspired and the grounds have a gold course that was used to entertain British guests. It remains one of the unknown historical places in India."
11,Historical places,Mehrangarh Fort,Jodhpur,"Commissioned by Rao Jodha in 1459, it is one of the biggest forts in India. There are 7 entrances in the complex which is nestled on a hill. Each gate was constructed at different times for different purposes. For example, the Vijay Gate was built to mark the win of King Man Singh over Bikaner and Jaipur. There is a Rose palace and a Glass Palace within the complex. This fort has been featured in a number of Bollywood and Hollywood movies as well."
12,Historical places,Amer Fort,Jaipur,"Only 11 km from the Pink City Jaipur, Amer Fort is one of the most magnificent forts in India. Built by Maharaja Man Singh in 1592, it was truly the residence of kings. Another UNESCO site in the heart of Rajasthan. Made of yellow and pink sandstone, it is an unforgettable sight. Over 5 thousand people visit this fort every day, making it one of the most visited places in Jaipur."
13,Historical places,India Gate,Delhi,"This 42-meter monument is often compared with Arch de Triomphe in Paris and Arch of Constantine in Rome. Located on the Rajpath, it was designed by Edwin Lutyens. Dedicated to the 82,000 soldiers of both Indian and British descent who fought in World War One and 13,300 soldiers who were martyred in the 3rd Anglo-Afghan War, it was built in 1931. Every year, the Republic Day Parade is held here. It is a famous destination among both locals and tourists."
14,Historical places,Kumbhalgarh Fort,Rajasthan,"Another famous fort in Rajasthan, it is famous for the majestic fort as well as the wildlife sanctuary. Built by King Kumbha, it falls under the care of the district of Rajasamand. It is also only 82 km from Udaipur, making it a great day trip if you are in the city. It is a major tourist attraction due to the the magnificent structure of the palace."
15,Historical places,Gwalior Fort,Madhya Pradesh,"A legendary fort of its time, Gwalior Fort has been around for a long time. Some sources suggest that it was constructed in or before 6 century Mughal Emporer Babur described this place to be a pearl among Indian fortresses. The second oldest reference to the number zero can be found here. Situated in the historic city of Gwalior, it is the part of the identity of the city that has seen many dynasties come and go."
16,Historical places,Victoria Memorial,ÿKolkata,"India's third-largest city, Kolkata, is a decaying masterpiece of former British India, brimming with colonial-era architecture. The top things to do in Kolkata include seeing the Victoria Memorial, a white marble monument that features a museum with dozens of galleries, and Park Street, a famous thoroughfare with shops and restaurants that bustle 24/7, especially during the holidays.But Kolkata is as much about the sites as it is about the emotions. This is a city that will somehow induce every one of your emotions with the highs and lows of life taking place in plain view on every street. Brace yourself, and be open to the experience."
17,Historical places,Jallianwala Bagh,Punjab,"The infamous Jallianwala Bagh massacre took place near this monument near the Golden Temple in Amritsar. Covering around 6.5 acres, it is the place where General Dyer ordered a mass shooting on Baisakhi. Thousands of innocents succumbed to death in this incident. It was one of the incidents that ignited the fire of Independence revolution. A memorial was erected here on 13th April 1961 by the then president, Dr. Rajendra Prasad."
18,Historical places,Rani ki Vav,Gujarat,"You will feel like an ant climbing down an anthill when you explore the Rani ki Vav stepwell as it is a massive structure that is around 24 meters deep. One of the most unexplored historical places in India, this stepwell was built in the 11th century AD, as a memoriam for King Bhimdev of the Solanki dynasty by his wife Queen Udayamati. The lowest level of the stepwell was earlier used as a route to escape to neighbouring villages. It is one of the most beautiful places to visit in Gujarat."
19,Historical places,Konark Temple,Odisha,"Built by the great ruler of the Ganga dynasty ? King Narasimhadeva I, along with 1200 artisans, the Konark Temple is magic set in stone. Located on the coast of the Bay of Bengal, this temple signifies the exquisite detailing of ancient architecture and is one of the famous historical places in India. A particularly interesting feat is at the entrance of the temple where two lions are shown crushing elephants and a human body lies at the foot of the elephant."
20,Historical places,Sanchi Stupa,Madhya Pradesh,Unearth one of the most religious centers of Buddhism at the Sanchi Stupa that houses relics of the Buddha. This famous historical place in India was built by Lord Asoka in the 3rd century B.C for Emperor Ashoka. The Dome of the Stupa signifies the wheel of law and this stupa is actually considered as a symbol of Buddha?s freedom the circle of life and death (Moksha). The four gateways of the Stupa have various scenes from the Jataka tales and stories of Buddha?s life.
21,Historical places,Khajuraho Temples, Madhya Pradesh,"Khajuraho has always been thought of as the place that exemplifies sensuality and eroticism at its best. However this is a misrepresentation as only about 10 percent of the sculptures are sensual and the rest are common depictions. Countless sculptures depicting love, eternal grace, beauty, delicacy and the creative arts can be seen in one of the most historical places in India. A perfect amalgamation of Hinduism and Jainism, Khajuraho temples have carvings of cult icons, demi gods and Apsaras."
22,Historical places,Hawa Mahal,Jaipur,"The ?Palace of Winds? or Hawa Mahal gets its name due to the fact that it looks like a honeycomb of a beehive with its 953 intricate windows. It is also shaped like a crown as the ruler who built it, Maharaja Sawai Pratap Singh, was a major devotee of Lord Krishna. One of the popular tourist places in Jaipur, this palace is known as the tallest building in the world that doesn?t have any foundation. The palace is curved but still stands firm due to its pyramidal shape."
23,Historical places,Qutub Minar,Delhi,"ÿThe First Muslim kingdom in northern India, the Qutub Minar is definitely one of the mostÿhistorical sites in India. It is one of the finest examples of Indo-Muslim architecture with its intricate red sandstone storeys. These are dotted with carvings and verses from the Quran and are mostly in Arabic and Nagari. Qutub Minar is one of the famous historical places in India and is said to have got its name from Qutb-ud-din Aibak who was the first Muslim ruler of North India. The first mosque in India Quwwat-ul-Islam Masjid is also located at the foot of the Qutub Minar."
24,Historical places,City Palace,Udaipur,"the City Palace in Udaipur is considered to be the largest royal complex in Rajasthan. The magnificent palace was built in the year 1559 by Maharana Uday Singh and served as the main seat of power, where the Maharanas lived and administered the kingdom from. Subsequently, the palace was made even more splendid by his successors, who added a number of structures to it. The Palace now has an assortment of Mahals, courtyards, pavilions, corridors, terraces, rooms and hanging gardens."
